SANPHAM,MASANPHAM,TENSANPHAM,BARCODE,DONVITINH,LOAITIEN,GIAVON,GIABAN,GIADAILY,VAT,BAOHANH,HANGSANXUAT,XUATXU,CHATLIEU,MAUSAC,MOTASANPHAM,GHICHU,TIMEACTION,MA_CHI_NHANH,HOATDONG,KEYACCESS,CYL_ADD,CYL_SUB,SPH_ADD,SPH_SUB,URL_IMAGE,VITRI,MAMAUIN,MASANPHAM_DIS,NHOMSP
21519,1.49 CR S-2.50 C-1.25,Mat can ram 1.49 Korea,N000004024,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21520,1.49 CR S-2.50 C-1.50,Mat can ram 1.49 Korea,N000004065,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21521,1.49 CR S-2.50 C-1.75,Mat can ram 1.49 Korea,N000004106,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21522,1.49 CR S-2.50 C-2.00,Mat can ram 1.49 Korea,N000004147,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21523,1.49 CR S-2.75 C-0.00,Mat can ram 1.49 Korea,N000003859,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21524,1.49 CR S-2.75 C-0.50,Mat can ram 1.49 Korea,N000003901,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21525,1.49 CR S-2.75 C-0.75,Mat can ram 1.49 Korea,N000003943,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21526,1.49 CR S-2.75 C-1.00,Mat can ram 1.49 Korea,N000003984,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21527,1.49 CR S-2.75 C-1.25,Mat can ram 1.49 Korea,N000004025,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21528,1.49 CR S-2.75 C-1.50,Mat can ram 1.49 Korea,N000004066,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21529,1.49 CR S-2.75 C-1.75,Mat can ram 1.49 Korea,N000004107,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21530,1.49 CR S-2.75 C-2.00,Mat can ram 1.49 Korea,N000004148,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21531,1.49 CR S-3.00 C-0.00,Mat can ram 1.49 Korea,N000003860,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21532,1.49 CR S-3.00 C-0.50,Mat can ram 1.49 Korea,N000007380,,VND,,160000,0,10,0,,0,,0,,,16/2/2017,NH,0,NAMHAI,,,,,,,,,
21533,1.49 CR S-3.00 C-0.75,Mat can ram 1.49 Korea,N000003944,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21534,1.49 CR S-3.00 C-1.00,Mat can ram 1.49 Korea,N000003985,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21535,1.49 CR S-3.00 C-1.25,Mat can ram 1.49 Korea,N000004026,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21536,1.49 CR S-3.00 C-1.50,Mat can ram 1.49 Korea,N000004067,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21537,1.49 CR S-3.00 C-1.75,Mat can ram 1.49 Korea,N000004108,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21538,1.49 CR S-3.00 C-2.00,Mat can ram 1.49 Korea,N000004149,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21539,1.49 CR S-3.25 C-0.00,Mat can ram 1.49 Korea,N000003861,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21540,1.49 CR S-3.25 C-0.50,Mat can ram 1.49 Korea,N000003905,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21541,1.49 CR S-3.25 C-0.75,Mat can ram 1.49 Korea,N000003945,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21542,1.49 CR S-3.25 C-1.00,Mat can ram 1.49 Korea,N000003986,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21543,1.49 CR S-3.25 C-1.25,Mat can ram 1.49 Korea,N000004027,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21544,1.49 CR S-3.25 C-1.50,Mat can ram 1.49 Korea,N000004068,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21545,1.49 CR S-3.25 C-1.75,Mat can ram 1.49 Korea,N000004109,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21546,1.49 CR S-3.25 C-2.00,Mat can ram 1.49 Korea,N000004150,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21547,1.49 CR S-3.50 C-0.00,Mat can ram 1.49 Korea,N000003862,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21548,1.49 CR S-3.50 C-0.50,Mat can ram 1.49 Korea,N000003904,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21549,1.49 CR S-3.50 C-0.75,Mat can ram 1.49 Korea,N000003946,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21550,1.49 CR S-3.50 C-1.00,Mat can ram 1.49 Korea,N000003987,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
